"n","runs","meanFracFree","varFracFree","probabilitySafeSquare"
1,47000,0,0,0
2,47000,0,0,0
3,47000,0.047628841607565,0.00302365129207937,0.428659574468085
4,47000,0.0696688829787234,0.00292581365010652,0.736659574468085
5,47000,0.0824697872340426,0.00283664986697318,0.885489361702128
6,47000,0.0906341607565012,0.00262860635526882,0.952957446808511
7,47000,0.0973226226660877,0.00245553509633718,0.980148936170213
8,47000,0.101874667553191,0.0022940940647233,0.992297872340426
9,47000,0.10521329130549,0.00212103951637018,0.997042553191489
10,72000,0.108471111111111,0.00197094820637941,0.998847222222222
11,72000,0.110648760330579,0.00181840711899103,0.999486111111111
12,72000,0.113032696759259,0.00173449429491163,0.999777777777778
13,72000,0.114567389875082,0.00162147340293727,0.999958333333333
14,72000,0.115862032312925,0.0015451756145231,1
15,72000,0.117363024691358,0.00146047487604757,1
16,72000,0.118393771701389,0.00136946016231515,0.999972222222222
17,72000,0.119448577470204,0.00129980182817621,1
18,72000,0.120323173868313,0.00124787374159979,1
19,72000,0.121189250538627,0.00119598916960144,1
20,72000,0.121710138888889,0.00113959767633733,1
21,72000,0.122704050138574,0.00110349801268669,1
22,72000,0.12315504476584,0.00105491061470594,1
23,72000,0.123600661625709,0.00102117082264592,1
24,72000,0.124147231867284,0.000983089351061924,1
25,72000,0.124612088888889,0.000944526856731776,1
26,72000,0.124944752629849,0.000914267542729087,1
27,72000,0.125227309099223,0.000884842825283598,1
28,72000,0.125847523384354,0.000851952110574213,1
29,72000,0.126038694015061,0.000828087707588342,1
30,72000,0.126270231481481,0.00079857610126058,1
31,72000,0.126642053994681,0.000781505905164119,1
32,72000,0.126925170898437,0.000750331544657876,1
33,72000,0.127111838077747,0.000733170232587753,1
34,72000,0.127223147347174,0.000710782198319746,1
35,72000,0.127693526077097,0.000687730634110191,1
36,72000,0.127717442558299,0.000677364047932935,1
37,72000,0.127850549874199,0.000658168482145849,1
38,72000,0.128140427823946,0.000650026320623468,1
39,72000,0.128425688509022,0.000625909083576277,1
40,72000,0.1284984375,0.000614453583719479,1
41,72000,0.128752867010377,0.000602670303606772,1
42,72000,0.128885156840514,0.000588595256989038,1
43,72000,0.128958190613545,0.000576138451592923,1
44,72000,0.129192980945822,0.000563420629744482,1
45,72000,0.129237016460905,0.000549185955513332,1
46,72000,0.129370077189666,0.000538374243141905,1
47,72000,0.129597605754238,0.00052811408544995,1
48,72000,0.129756522472994,0.00052165375563562,1
49,72000,0.12994188763941,0.000503532834270455,1
50,142000,0.129941033802817,0.000499755245771011,1
51,117000,0.130098476259953,0.0004909562728132,1
52,117000,0.130272758306782,0.000480063775503522,1
53,117000,0.130238035252987,0.000474661134947297,1
54,117000,0.130419146354332,0.000461946017142585,1
55,117000,0.130475323868051,0.00045837099354883,1
56,117000,0.130523637820513,0.00044935913108156,1
57,117000,0.130589806725541,0.000442051332702588,1
58,117000,0.130734102665732,0.000431394618569099,1
59,117000,0.130825310538037,0.000427162402356661,1
60,117000,0.130737416904084,0.000421307594743166,1
61,97000,0.13098870994107,0.000415384692880537,1
62,97000,0.131046254974951,0.000403544452882563,1
63,97000,0.130969887764193,0.000403812578354252,1
64,97000,0.131020381966817,0.000392759294965682,1
65,97000,0.131161224913073,0.000387085319107352,1
66,97000,0.131071431276211,0.000383166505970069,1
67,97000,0.131356187978403,0.000376396739539776,1
68,97000,0.131451795651554,0.00037355969089867,1
69,97000,0.131437571592211,0.000368183499021321,1
70,97000,0.131441091941931,0.000362552563060117,1
71,97000,0.131616763160639,0.000357621225798457,1
72,97000,0.131584077096856,0.000352575586953446,1
73,97000,0.13157146173534,0.000346150736176557,1
74,97000,0.131714401361518,0.000343296919823513,1
75,97000,0.131809992210767,0.000338261710556456,1
76,97000,0.131737313304966,0.000331312424010768,1
77,97000,0.131838000532069,0.000329997013460941,1
78,97000,0.13183001721602,0.000324516668001442,1
79,97000,0.131895119900492,0.000321806165840721,1
80,97000,0.131967403350515,0.000318784334578676,1
81,97000,0.131999467330382,0.000316713441116325,1
82,97000,0.132064094151125,0.000308619944097601,1
83,97000,0.132127816195848,0.000308422240984776,1
84,97000,0.13201954467354,0.000302995666571924,1
85,97000,0.132103787678807,0.00029905768314259,1
86,97000,0.132096244556824,0.000296568457032946,1
87,97000,0.132178262391497,0.000292922819366123,1
88,97000,0.132220360824742,0.000292301012966672,1
89,97000,0.132203460200407,0.000284730496453275,1
90,97000,0.132248808705613,0.000281218186702793,1
91,97000,0.132374667136421,0.000282070048972566,1
92,97000,0.132425787568452,0.000278123708398914,1
93,97000,0.132398012761144,0.000273692125285548,1
94,97000,0.132334367839158,0.000273133673264184,1
95,97000,0.132417841619785,0.00026971199821026,1
96,97000,0.132519051358462,0.000265722088526338,1
97,97000,0.13258558213073,0.000264477138148229,1
98,97000,0.13261011520114,0.000260677765807013,1
99,97000,0.132603662365612,0.000258466493310362,1
100,97020,0.132607026386312,0.000256414124244864,1
101,86000,0.132695422017449,0.000251641912816326,1
102,86000,0.13269969622596,0.00025126558007896,1
103,86000,0.132690458079691,0.00024743446215706,1
104,86000,0.132717711486858,0.000246372275353872,1
105,86000,0.13278311554079,0.000245184301638232,1
106,86000,0.132885735840778,0.000242041148576862,1
107,86000,0.132772989212016,0.000241590996008528,1
108,86000,0.132850187019492,0.000236475502292765,1
109,86000,0.132810912674722,0.00023619232448198,1
110,88000,0.132841747746056,0.000233442128072012,1
111,86000,0.132944156601605,0.000232339760159918,1
112,86000,0.132743963573802,0.000227015200436871,1
113,86000,0.132947340670629,0.000227846697026001,1
114,86000,0.132923083667962,0.000226056833181426,1
115,86000,0.133008720270805,0.000223026899889585,1
116,86000,0.133044596687222,0.000224066755938247,1
117,86000,0.133038791968428,0.000220644049891712,1
118,86000,0.13304023503003,0.000218059721649919,1
119,86000,0.133104945945546,0.000216985945570751,1
120,88000,0.133063038983586,0.000215561992868892,1
121,86000,0.133104437522535,0.000212148519192413,1
122,86000,0.133132731105042,0.000209625825909257,1
123,86000,0.133073199937898,0.00020948306997023,1
124,86000,0.133169393406819,0.000206939764782113,1
125,86000,0.13323766772093,0.000204815870495713,1
126,86000,0.133204297696684,0.000204217390066316,1
127,86000,0.133181749037917,0.000203002309889986,1
128,86000,0.133269279302553,0.000202921212277386,1
129,86000,0.133297335105365,0.000199485152772133,1
130,88000,0.133267629101668,0.000197349934973252,1
131,86000,0.13315679616979,0.000196182953192364,1
132,86000,0.13335705228821,0.000195384942656892,1
133,86000,0.133330408991529,0.000194550181293972,1
134,86000,0.133311879944257,0.000191839857395588,1
135,86000,0.13330956774173,0.000189320504268011,1
136,86000,0.133378374079625,0.00018949829491044,1
137,86000,0.133352113888934,0.000187249712352329,1
138,86000,0.133368390459304,0.000186322546025591,1
139,86000,0.133409760195859,0.000186390924156396,1
140,88000,0.133502479128015,0.000184556398618573,1
141,86000,0.133429637739901,0.000184306104259904,1
